OBJECTID,gsid,formal_name,district,station_id,year,month,days,rainfallsum
994034,347,Dhunche,Rasuwa,1055,1986,1,1,3.7
994035,347,Dhunche,Rasuwa,1055,1986,1,2,0
994036,347,Dhunche,Rasuwa,1055,1986,1,3,0
994037,347,Dhunche,Rasuwa,1055,1986,1,4,0
994038,347,Dhunche,Rasuwa,1055,1986,1,5,0
994039,347,Dhunche,Rasuwa,1055,1986,1,6,0
994040,347,Dhunche,Rasuwa,1055,1986,1,7,0
994041,347,Dhunche,Rasuwa,1055,1986,1,8,0
994042,347,Dhunche,Rasuwa,1055,1986,1,9,0
994043,347,Dhunche,Rasuwa,1055,1986,1,10,31
994044,347,Dhunche,Rasuwa,1055,1986,1,11,0
994045,347,Dhunche,Rasuwa,1055,1986,1,12,0
994046,347,Dhunche,Rasuwa,1055,1986,1,13,0
994047,347,Dhunche,Rasuwa,1055,1986,1,14,0
994048,347,Dhunche,Rasuwa,1055,1986,1,15,0
994049,347,Dhunche,Rasuwa,1055,1986,1,16,0
994050,347,Dhunche,Rasuwa,1055,1986,1,17,0
994051,347,Dhunche,Rasuwa,1055,1986,1,18,0.1
994052,347,Dhunche,Rasuwa,1055,1986,1,19,0
994053,347,Dhunche,Rasuwa,1055,1986,1,20,0
994054,347,Dhunche,Rasuwa,1055,1986,1,21,0
994055,347,Dhunche,Rasuwa,1055,1986,1,22,0
994056,347,Dhunche,Rasuwa,1055,1986,1,23,0
994057,347,Dhunche,Rasuwa,1055,1986,1,24,0
994058,347,Dhunche,Rasuwa,1055,1986,1,25,0
994059,347,Dhunche,Rasuwa,1055,1986,1,26,0
994060,347,Dhunche,Rasuwa,1055,1986,1,27,0
994061,347,Dhunche,Rasuwa,1055,1986,1,28,0
994062,347,Dhunche,Rasuwa,1055,1986,1,29,11.1
994063,347,Dhunche,Rasuwa,1055,1986,1,30,0
994064,347,Dhunche,Rasuwa,1055,1986,1,31,0
994065,347,Dhunche,Rasuwa,1055,1986,2,1,0
994066,347,Dhunche,Rasuwa,1055,1986,2,2,0
994067,347,Dhunche,Rasuwa,1055,1986,2,3,0
994068,347,Dhunche,Rasuwa,1055,1986,2,4,0
994069,347,Dhunche,Rasuwa,1055,1986,2,5,0
994070,347,Dhunche,Rasuwa,1055,1986,2,6,0
994071,347,Dhunche,Rasuwa,1055,1986,2,7,0
994072,347,Dhunche,Rasuwa,1055,1986,2,8,0
994073,347,Dhunche,Rasuwa,1055,1986,2,9,0
994074,347,Dhunche,Rasuwa,1055,1986,2,10,1.2
994075,347,Dhunche,Rasuwa,1055,1986,2,11,0.1
994076,347,Dhunche,Rasuwa,1055,1986,2,12,0
994077,347,Dhunche,Rasuwa,1055,1986,2,13,0
994078,347,Dhunche,Rasuwa,1055,1986,2,14,0
994079,347,Dhunche,Rasuwa,1055,1986,2,15,0
994080,347,Dhunche,Rasuwa,1055,1986,2,16,0
994081,347,Dhunche,Rasuwa,1055,1986,2,17,0
994082,347,Dhunche,Rasuwa,1055,1986,2,18,0
994083,347,Dhunche,Rasuwa,1055,1986,2,19,0
994084,347,Dhunche,Rasuwa,1055,1986,2,20,0
994085,347,Dhunche,Rasuwa,1055,1986,2,21,3
994086,347,Dhunche,Rasuwa,1055,1986,2,22,0
994087,347,Dhunche,Rasuwa,1055,1986,2,23,11
994088,347,Dhunche,Rasuwa,1055,1986,2,24,0
994089,347,Dhunche,Rasuwa,1055,1986,2,25,0
994090,347,Dhunche,Rasuwa,1055,1986,2,26,0
994091,347,Dhunche,Rasuwa,1055,1986,2,27,0
994092,347,Dhunche,Rasuwa,1055,1986,2,28,0
994093,347,Dhunche,Rasuwa,1055,1986,3,1,0
994094,347,Dhunche,Rasuwa,1055,1986,3,2,0
994095,347,Dhunche,Rasuwa,1055,1986,3,3,0
994096,347,Dhunche,Rasuwa,1055,1986,3,4,14
994097,347,Dhunche,Rasuwa,1055,1986,3,5,0
994098,347,Dhunche,Rasuwa,1055,1986,3,6,0
