OBJECTID,gsid,formal_name,district,station_id,year,month,days,rainfallsum
3709968,295,Timure,Rasuwa,1001,1986,1,1,0
3709969,295,Timure,Rasuwa,1001,1986,1,2,0
3709970,295,Timure,Rasuwa,1001,1986,1,3,0
3709971,295,Timure,Rasuwa,1001,1986,1,4,0
3709972,295,Timure,Rasuwa,1001,1986,1,5,0
3709973,295,Timure,Rasuwa,1001,1986,1,6,0
3709974,295,Timure,Rasuwa,1001,1986,1,7,0
3709975,295,Timure,Rasuwa,1001,1986,1,8,0
3709976,295,Timure,Rasuwa,1001,1986,1,9,0
3709977,295,Timure,Rasuwa,1001,1986,1,10,0
3709978,295,Timure,Rasuwa,1001,1986,1,11,0
3709979,295,Timure,Rasuwa,1001,1986,1,12,0
3709980,295,Timure,Rasuwa,1001,1986,1,13,0
3709981,295,Timure,Rasuwa,1001,1986,1,14,0
3709982,295,Timure,Rasuwa,1001,1986,1,15,0
3709983,295,Timure,Rasuwa,1001,1986,1,16,0
3709984,295,Timure,Rasuwa,1001,1986,1,17,0
3709985,295,Timure,Rasuwa,1001,1986,1,18,0
3709986,295,Timure,Rasuwa,1001,1986,1,19,0
3709987,295,Timure,Rasuwa,1001,1986,1,20,0
3709988,295,Timure,Rasuwa,1001,1986,1,21,0
3709989,295,Timure,Rasuwa,1001,1986,1,22,0
3709990,295,Timure,Rasuwa,1001,1986,1,23,0
3709991,295,Timure,Rasuwa,1001,1986,1,24,0
3709992,295,Timure,Rasuwa,1001,1986,1,25,0
3709993,295,Timure,Rasuwa,1001,1986,1,26,0
3709994,295,Timure,Rasuwa,1001,1986,1,27,0
3709995,295,Timure,Rasuwa,1001,1986,1,28,0
3709996,295,Timure,Rasuwa,1001,1986,1,29,0
3709997,295,Timure,Rasuwa,1001,1986,1,30,0
3709998,295,Timure,Rasuwa,1001,1986,1,31,0
3709999,295,Timure,Rasuwa,1001,1986,2,1,0
3710000,295,Timure,Rasuwa,1001,1986,2,2,0
3710001,295,Timure,Rasuwa,1001,1986,2,3,0
3710002,295,Timure,Rasuwa,1001,1986,2,4,0
3710003,295,Timure,Rasuwa,1001,1986,2,5,0
3710004,295,Timure,Rasuwa,1001,1986,2,6,0
3710005,295,Timure,Rasuwa,1001,1986,2,7,0
3710006,295,Timure,Rasuwa,1001,1986,2,8,0
3710007,295,Timure,Rasuwa,1001,1986,2,9,0
3710008,295,Timure,Rasuwa,1001,1986,2,10,0
3710009,295,Timure,Rasuwa,1001,1986,2,11,4.3
3710010,295,Timure,Rasuwa,1001,1986,2,12,0
3710011,295,Timure,Rasuwa,1001,1986,2,13,0
3710012,295,Timure,Rasuwa,1001,1986,2,14,0
3710013,295,Timure,Rasuwa,1001,1986,2,15,0
3710014,295,Timure,Rasuwa,1001,1986,2,16,0
3710015,295,Timure,Rasuwa,1001,1986,2,17,0
3710016,295,Timure,Rasuwa,1001,1986,2,18,0
3710017,295,Timure,Rasuwa,1001,1986,2,19,0
3710018,295,Timure,Rasuwa,1001,1986,2,20,0
3710019,295,Timure,Rasuwa,1001,1986,2,21,0
3710020,295,Timure,Rasuwa,1001,1986,2,22,0
3710021,295,Timure,Rasuwa,1001,1986,2,23,0
3710022,295,Timure,Rasuwa,1001,1986,2,24,0
3710023,295,Timure,Rasuwa,1001,1986,2,25,5.3
3710024,295,Timure,Rasuwa,1001,1986,2,26,0
3710025,295,Timure,Rasuwa,1001,1986,2,27,0
3710026,295,Timure,Rasuwa,1001,1986,2,28,0
3710027,295,Timure,Rasuwa,1001,1986,3,1,0
3710028,295,Timure,Rasuwa,1001,1986,3,2,0
3710029,295,Timure,Rasuwa,1001,1986,3,3,0
3710030,295,Timure,Rasuwa,1001,1986,3,4,0
3710031,295,Timure,Rasuwa,1001,1986,3,5,0
3710032,295,Timure,Rasuwa,1001,1986,3,6,0
3710033,295,Timure,Rasuwa,1001,1986,3,7,0
3710034,295,Timure,Rasuwa,1001,1986,3,8,0
3710035,295,Timure,Rasuwa,1001,1986,3,9,0
3710036,295,Timure,Rasuwa,1001,1986,3,10,0
3710037,295,Timure,Rasuwa,1001,1986,3,11,0
3710038,295,Timure,Rasuwa,1001,1986,3,12,0
3710039,295,Timure,Rasuwa,1001,1986,3,13,0
3710040,295,Timure,Rasuwa,1001,1986,3,14,0
3710041,295,Timure,Rasuwa,1001,1986,3,15,0
3710042,295,Timure,Rasuwa,1001,1986,3,16,0
3710043,295,Timure,Rasuwa,1001,1986,3,17,0
3710044,295,Timure,Rasuwa,1001,1986,3,18,0
3710045,295,Timure,Rasuwa,1001,1986,3,19,0
3710046,295,Timure,Rasuwa,1001,1986,3,20,0
3710047,295,Timure,Rasuwa,1001,1986,3,21,0
3710048,295,Timure,Rasuwa,1001,1986,3,22,0
3710049,295,Timure,Rasuwa,1001,1986,3,23,0
3710050,295,Timure,Rasuwa,1001,1986,3,24,0
3710051,295,Timure,Rasuwa,1001,1986,3,25,0
3710052,295,Timure,Rasuwa,1001,1986,3,26,0
3710053,295,Timure,Rasuwa,1001,1986,3,27,0
3710054,295,Timure,Rasuwa,1001,1986,3,28,0
3710055,295,Timure,Rasuwa,1001,1986,3,29,0
3710056,295,Timure,Rasuwa,1001,1986,3,30,0
3710057,295,Timure,Rasuwa,1001,1986,3,31,0
3710058,295,Timure,Rasuwa,1001,1986,4,1,0
