OBJECTID,gsid,formal_name,district,station_id,year,month,days,rainfallsum
3637384,346,Thamachit,Rasuwa,1054,1986,3,31,0
3637385,346,Thamachit,Rasuwa,1054,1986,4,1,0
3637386,346,Thamachit,Rasuwa,1054,1986,4,2,3
3637387,346,Thamachit,Rasuwa,1054,1986,4,3,0
3637388,346,Thamachit,Rasuwa,1054,1986,4,4,7
3637389,346,Thamachit,Rasuwa,1054,1986,4,5,4
3637390,346,Thamachit,Rasuwa,1054,1986,4,6,0
3637391,346,Thamachit,Rasuwa,1054,1986,4,7,0
3637392,346,Thamachit,Rasuwa,1054,1986,4,8,0
3637393,346,Thamachit,Rasuwa,1054,1986,4,9,0
3637394,346,Thamachit,Rasuwa,1054,1986,4,10,0
3637395,346,Thamachit,Rasuwa,1054,1986,4,11,0
3637396,346,Thamachit,Rasuwa,1054,1986,4,12,0
3637397,346,Thamachit,Rasuwa,1054,1986,4,13,0
3637398,346,Thamachit,Rasuwa,1054,1986,4,14,0
3637399,346,Thamachit,Rasuwa,1054,1986,4,15,0
3637400,346,Thamachit,Rasuwa,1054,1986,4,16,0
3637401,346,Thamachit,Rasuwa,1054,1986,4,17,0
3637402,346,Thamachit,Rasuwa,1054,1986,4,18,0
3637403,346,Thamachit,Rasuwa,1054,1986,4,19,0
3637404,346,Thamachit,Rasuwa,1054,1986,4,20,0
3637405,346,Thamachit,Rasuwa,1054,1986,4,21,0
3637406,346,Thamachit,Rasuwa,1054,1986,4,22,0
3637407,346,Thamachit,Rasuwa,1054,1986,4,23,3
3637408,346,Thamachit,Rasuwa,1054,1986,4,24,0.2
3637409,346,Thamachit,Rasuwa,1054,1986,4,25,0
3637410,346,Thamachit,Rasuwa,1054,1986,4,26,0
3637411,346,Thamachit,Rasuwa,1054,1986,4,27,0
3637412,346,Thamachit,Rasuwa,1054,1986,4,28,0
3637413,346,Thamachit,Rasuwa,1054,1986,4,29,0
3637414,346,Thamachit,Rasuwa,1054,1986,4,30,0
3637415,346,Thamachit,Rasuwa,1054,1986,5,1,0
3637416,346,Thamachit,Rasuwa,1054,1986,5,2,0
3637417,346,Thamachit,Rasuwa,1054,1986,5,3,0
3637418,346,Thamachit,Rasuwa,1054,1986,5,4,0
3637419,346,Thamachit,Rasuwa,1054,1986,5,5,0
3637420,346,Thamachit,Rasuwa,1054,1986,5,6,0
3637421,346,Thamachit,Rasuwa,1054,1986,5,7,0
3637422,346,Thamachit,Rasuwa,1054,1986,5,8,0
3637423,346,Thamachit,Rasuwa,1054,1986,5,9,1
3637424,346,Thamachit,Rasuwa,1054,1986,5,10,0
3637425,346,Thamachit,Rasuwa,1054,1986,5,11,1
3637426,346,Thamachit,Rasuwa,1054,1986,5,12,0
3637427,346,Thamachit,Rasuwa,1054,1986,5,13,0
3637428,346,Thamachit,Rasuwa,1054,1986,5,14,0
3637429,346,Thamachit,Rasuwa,1054,1986,5,15,0
3637430,346,Thamachit,Rasuwa,1054,1986,5,16,0
3637431,346,Thamachit,Rasuwa,1054,1986,5,17,0
3637432,346,Thamachit,Rasuwa,1054,1986,5,18,0.1
3637433,346,Thamachit,Rasuwa,1054,1986,5,19,0
3637434,346,Thamachit,Rasuwa,1054,1986,5,20,0
3637435,346,Thamachit,Rasuwa,1054,1986,5,21,0
3637436,346,Thamachit,Rasuwa,1054,1986,5,22,0
3637437,346,Thamachit,Rasuwa,1054,1986,5,23,6
3637438,346,Thamachit,Rasuwa,1054,1986,5,24,3
3637439,346,Thamachit,Rasuwa,1054,1986,5,25,0
3637440,346,Thamachit,Rasuwa,1054,1986,5,26,0
3637441,346,Thamachit,Rasuwa,1054,1986,5,27,0
3637442,346,Thamachit,Rasuwa,1054,1986,5,28,2
3637443,346,Thamachit,Rasuwa,1054,1986,5,29,0.2
3637444,346,Thamachit,Rasuwa,1054,1986,5,30,0.2
3637445,346,Thamachit,Rasuwa,1054,1986,5,31,0
3637446,346,Thamachit,Rasuwa,1054,1986,6,1,0
3637447,346,Thamachit,Rasuwa,1054,1986,6,2,0
3637448,346,Thamachit,Rasuwa,1054,1986,6,3,0
3637449,346,Thamachit,Rasuwa,1054,1986,6,4,0
3637450,346,Thamachit,Rasuwa,1054,1986,6,5,0
3637451,346,Thamachit,Rasuwa,1054,1986,6,6,9
3637452,346,Thamachit,Rasuwa,1054,1986,6,7,0
3637453,346,Thamachit,Rasuwa,1054,1986,6,8,0
3637454,346,Thamachit,Rasuwa,1054,1986,6,9,0
3637455,346,Thamachit,Rasuwa,1054,1986,6,10,0
3637456,346,Thamachit,Rasuwa,1054,1986,6,11,0
3637457,346,Thamachit,Rasuwa,1054,1986,6,12,0
3637458,346,Thamachit,Rasuwa,1054,1986,6,13,0
3637459,346,Thamachit,Rasuwa,1054,1986,6,14,0
3637460,346,Thamachit,Rasuwa,1054,1986,6,15,7
3637461,346,Thamachit,Rasuwa,1054,1986,6,16,3
3637462,346,Thamachit,Rasuwa,1054,1986,6,17,11
3637463,346,Thamachit,Rasuwa,1054,1986,6,18,0
3637464,346,Thamachit,Rasuwa,1054,1986,6,19,0
3637465,346,Thamachit,Rasuwa,1054,1986,6,20,16
3637466,346,Thamachit,Rasuwa,1054,1986,6,21,21
3637467,346,Thamachit,Rasuwa,1054,1986,6,22,12
3637468,346,Thamachit,Rasuwa,1054,1986,6,23,8
3637469,346,Thamachit,Rasuwa,1054,1986,6,24,20
3637470,346,Thamachit,Rasuwa,1054,1986,6,25,6
3637471,346,Thamachit,Rasuwa,1054,1986,6,26,0.3
3637472,346,Thamachit,Rasuwa,1054,1986,6,27,6
3637473,346,Thamachit,Rasuwa,1054,1986,6,28,6
3637474,346,Thamachit,Rasuwa,1054,1986,6,29,13
3637475,346,Thamachit,Rasuwa,1054,1986,6,30,5
3637476,346,Thamachit,Rasuwa,1054,1986,7,1,6
3637477,346,Thamachit,Rasuwa,1054,1986,7,2,10
3637478,346,Thamachit,Rasuwa,1054,1986,7,3,18
3637479,346,Thamachit,Rasuwa,1054,1986,7,4,9
3637480,346,Thamachit,Rasuwa,1054,1986,7,5,9
3637481,346,Thamachit,Rasuwa,1054,1986,7,6,3
3637482,346,Thamachit,Rasuwa,1054,1986,7,7,3
3637483,346,Thamachit,Rasuwa,1054,1986,7,8,0
3637484,346,Thamachit,Rasuwa,1054,1986,7,9,12
3637485,346,Thamachit,Rasuwa,1054,1986,7,10,5
3637486,346,Thamachit,Rasuwa,1054,1986,7,11,3
3637487,346,Thamachit,Rasuwa,1054,1986,7,12,0.2
3637488,346,Thamachit,Rasuwa,1054,1986,7,13,2
3637489,346,Thamachit,Rasuwa,1054,1986,7,14,8
3637490,346,Thamachit,Rasuwa,1054,1986,7,15,4
3637491,346,Thamachit,Rasuwa,1054,1986,7,16,25
3637492,346,Thamachit,Rasuwa,1054,1986,7,17,19
3637493,346,Thamachit,Rasuwa,1054,1986,7,18,22
3637494,346,Thamachit,Rasuwa,1054,1986,7,19,8
3637495,346,Thamachit,Rasuwa,1054,1986,7,20,15
3637496,346,Thamachit,Rasuwa,1054,1986,7,21,3
3637497,346,Thamachit,Rasuwa,1054,1986,7,22,6
3637498,346,Thamachit,Rasuwa,1054,1986,7,23,4
3637499,346,Thamachit,Rasuwa,1054,1986,7,24,9
3637500,346,Thamachit,Rasuwa,1054,1986,7,25,2
3637501,346,Thamachit,Rasuwa,1054,1986,7,26,7
3637502,346,Thamachit,Rasuwa,1054,1986,7,27,5
3637503,346,Thamachit,Rasuwa,1054,1986,7,28,5
3637504,346,Thamachit,Rasuwa,1054,1986,7,29,1
3637505,346,Thamachit,Rasuwa,1054,1986,7,30,0.1
3637506,346,Thamachit,Rasuwa,1054,1986,7,31,1
3637507,346,Thamachit,Rasuwa,1054,1986,8,1,11
3637508,346,Thamachit,Rasuwa,1054,1986,8,2,8
3637509,346,Thamachit,Rasuwa,1054,1986,8,3,5
3637510,346,Thamachit,Rasuwa,1054,1986,8,4,17
3637511,346,Thamachit,Rasuwa,1054,1986,8,5,10
3637512,346,Thamachit,Rasuwa,1054,1986,8,6,3
3637513,346,Thamachit,Rasuwa,1054,1986,8,7,3
3637514,346,Thamachit,Rasuwa,1054,1986,8,8,0
3637515,346,Thamachit,Rasuwa,1054,1986,8,9,0
3637516,346,Thamachit,Rasuwa,1054,1986,8,10,0
3637517,346,Thamachit,Rasuwa,1054,1986,8,11,0
3637518,346,Thamachit,Rasuwa,1054,1986,8,12,6
3637519,346,Thamachit,Rasuwa,1054,1986,8,13,12
3637520,346,Thamachit,Rasuwa,1054,1986,8,14,4
3637521,346,Thamachit,Rasuwa,1054,1986,8,15,9
3637522,346,Thamachit,Rasuwa,1054,1986,8,16,12
3637523,346,Thamachit,Rasuwa,1054,1986,8,17,5
3637524,346,Thamachit,Rasuwa,1054,1986,8,18,11
3637525,346,Thamachit,Rasuwa,1054,1986,8,19,8
3637526,346,Thamachit,Rasuwa,1054,1986,8,20,2
3637527,346,Thamachit,Rasuwa,1054,1986,8,21,0
3637528,346,Thamachit,Rasuwa,1054,1986,8,22,2
3637529,346,Thamachit,Rasuwa,1054,1986,8,23,0
3637530,346,Thamachit,Rasuwa,1054,1986,8,24,6
3637531,346,Thamachit,Rasuwa,1054,1986,8,25,6
3637532,346,Thamachit,Rasuwa,1054,1986,8,26,0
3637533,346,Thamachit,Rasuwa,1054,1986,8,27,8
3637534,346,Thamachit,Rasuwa,1054,1986,8,28,2
3637535,346,Thamachit,Rasuwa,1054,1986,8,29,4
3637536,346,Thamachit,Rasuwa,1054,1986,8,30,0
3637537,346,Thamachit,Rasuwa,1054,1986,8,31,0
3637538,346,Thamachit,Rasuwa,1054,1986,9,1,0
3637539,346,Thamachit,Rasuwa,1054,1986,9,2,7
3637540,346,Thamachit,Rasuwa,1054,1986,9,3,3
3637541,346,Thamachit,Rasuwa,1054,1986,9,4,1
3637542,346,Thamachit,Rasuwa,1054,1986,9,5,0.2
3637543,346,Thamachit,Rasuwa,1054,1986,9,6,0
3637544,346,Thamachit,Rasuwa,1054,1986,9,7,2
3637545,346,Thamachit,Rasuwa,1054,1986,9,8,0
3637546,346,Thamachit,Rasuwa,1054,1986,9,9,1
3637547,346,Thamachit,Rasuwa,1054,1986,9,10,1
3637548,346,Thamachit,Rasuwa,1054,1986,9,11,6
3637549,346,Thamachit,Rasuwa,1054,1986,9,12,4
3637550,346,Thamachit,Rasuwa,1054,1986,9,13,1
3637551,346,Thamachit,Rasuwa,1054,1986,9,14,0
3637552,346,Thamachit,Rasuwa,1054,1986,9,15,9
3637553,346,Thamachit,Rasuwa,1054,1986,9,16,0
3637554,346,Thamachit,Rasuwa,1054,1986,9,17,3
3637555,346,Thamachit,Rasuwa,1054,1986,9,18,1
3637556,346,Thamachit,Rasuwa,1054,1986,9,19,1
3637557,346,Thamachit,Rasuwa,1054,1986,9,20,8
3637558,346,Thamachit,Rasuwa,1054,1986,9,21,0
3637559,346,Thamachit,Rasuwa,1054,1986,9,22,0
3637560,346,Thamachit,Rasuwa,1054,1986,9,23,2
3637561,346,Thamachit,Rasuwa,1054,1986,9,24,0
3637562,346,Thamachit,Rasuwa,1054,1986,9,25,7
3637563,346,Thamachit,Rasuwa,1054,1986,9,26,3
3637564,346,Thamachit,Rasuwa,1054,1986,9,27,3
3637565,346,Thamachit,Rasuwa,1054,1986,9,28,0
3637566,346,Thamachit,Rasuwa,1054,1986,9,29,0
3637567,346,Thamachit,Rasuwa,1054,1986,9,30,1
3637568,346,Thamachit,Rasuwa,1054,1986,10,1,1
3637569,346,Thamachit,Rasuwa,1054,1986,10,2,4
3637570,346,Thamachit,Rasuwa,1054,1986,10,3,0.2
3637571,346,Thamachit,Rasuwa,1054,1986,10,4,0
3637572,346,Thamachit,Rasuwa,1054,1986,10,5,0
3637573,346,Thamachit,Rasuwa,1054,1986,10,6,2
3637574,346,Thamachit,Rasuwa,1054,1986,10,7,0
3637575,346,Thamachit,Rasuwa,1054,1986,10,8,0
3637576,346,Thamachit,Rasuwa,1054,1986,10,9,0
3637577,346,Thamachit,Rasuwa,1054,1986,10,10,7
3637578,346,Thamachit,Rasuwa,1054,1986,10,11,0.1
3637579,346,Thamachit,Rasuwa,1054,1986,10,12,0
3637580,346,Thamachit,Rasuwa,1054,1986,10,13,0
3637581,346,Thamachit,Rasuwa,1054,1986,10,14,0
3637582,346,Thamachit,Rasuwa,1054,1986,10,15,0
3637583,346,Thamachit,Rasuwa,1054,1986,10,16,0
3637584,346,Thamachit,Rasuwa,1054,1986,10,17,0
3637585,346,Thamachit,Rasuwa,1054,1986,10,18,0
3637586,346,Thamachit,Rasuwa,1054,1986,10,19,0
3637587,346,Thamachit,Rasuwa,1054,1986,10,20,0
3637588,346,Thamachit,Rasuwa,1054,1986,10,21,0
3637589,346,Thamachit,Rasuwa,1054,1986,10,22,0
3637590,346,Thamachit,Rasuwa,1054,1986,10,23,0
3637591,346,Thamachit,Rasuwa,1054,1986,10,24,0
3637592,346,Thamachit,Rasuwa,1054,1986,10,25,0
3637593,346,Thamachit,Rasuwa,1054,1986,10,26,0
3637594,346,Thamachit,Rasuwa,1054,1986,10,27,0
3637595,346,Thamachit,Rasuwa,1054,1986,10,28,0
3637596,346,Thamachit,Rasuwa,1054,1986,10,29,0
3637597,346,Thamachit,Rasuwa,1054,1986,10,30,0
3637598,346,Thamachit,Rasuwa,1054,1986,10,31,0
3637599,346,Thamachit,Rasuwa,1054,1986,11,1,0
3637600,346,Thamachit,Rasuwa,1054,1986,11,2,0
3637601,346,Thamachit,Rasuwa,1054,1986,11,3,0
3637602,346,Thamachit,Rasuwa,1054,1986,11,4,0
3637603,346,Thamachit,Rasuwa,1054,1986,11,5,0
3637604,346,Thamachit,Rasuwa,1054,1986,11,6,0.2
3637605,346,Thamachit,Rasuwa,1054,1986,11,7,0
3637606,346,Thamachit,Rasuwa,1054,1986,11,8,3
3637607,346,Thamachit,Rasuwa,1054,1986,11,9,0.1
3637608,346,Thamachit,Rasuwa,1054,1986,11,10,0
3637609,346,Thamachit,Rasuwa,1054,1986,11,11,0
3637610,346,Thamachit,Rasuwa,1054,1986,11,12,0
3637611,346,Thamachit,Rasuwa,1054,1986,11,13,0
3637612,346,Thamachit,Rasuwa,1054,1986,11,14,0
3637613,346,Thamachit,Rasuwa,1054,1986,11,15,0
3637614,346,Thamachit,Rasuwa,1054,1986,11,16,0
3637615,346,Thamachit,Rasuwa,1054,1986,11,17,0
3637616,346,Thamachit,Rasuwa,1054,1986,11,18,0
3637617,346,Thamachit,Rasuwa,1054,1986,11,19,0
3637618,346,Thamachit,Rasuwa,1054,1986,11,20,0
3637619,346,Thamachit,Rasuwa,1054,1986,11,21,0
3637620,346,Thamachit,Rasuwa,1054,1986,11,22,0
3637621,346,Thamachit,Rasuwa,1054,1986,11,23,0
3637622,346,Thamachit,Rasuwa,1054,1986,11,24,0
3637623,346,Thamachit,Rasuwa,1054,1986,11,25,0
3637624,346,Thamachit,Rasuwa,1054,1986,11,26,0
3637625,346,Thamachit,Rasuwa,1054,1986,11,27,0
3637626,346,Thamachit,Rasuwa,1054,1986,11,28,0
3637627,346,Thamachit,Rasuwa,1054,1986,11,29,0
3637628,346,Thamachit,Rasuwa,1054,1986,11,30,0
3637629,346,Thamachit,Rasuwa,1054,1986,12,1,0
3637630,346,Thamachit,Rasuwa,1054,1986,12,2,0
3637631,346,Thamachit,Rasuwa,1054,1986,12,3,0
3637632,346,Thamachit,Rasuwa,1054,1986,12,4,0
3637633,346,Thamachit,Rasuwa,1054,1986,12,5,0
3637634,346,Thamachit,Rasuwa,1054,1986,12,6,0
3637635,346,Thamachit,Rasuwa,1054,1986,12,7,0
3637636,346,Thamachit,Rasuwa,1054,1986,12,8,0
3637637,346,Thamachit,Rasuwa,1054,1986,12,9,0
3637638,346,Thamachit,Rasuwa,1054,1986,12,10,0
3637639,346,Thamachit,Rasuwa,1054,1986,12,11,0
3637640,346,Thamachit,Rasuwa,1054,1986,12,12,0
3637641,346,Thamachit,Rasuwa,1054,1986,12,13,0
3637642,346,Thamachit,Rasuwa,1054,1986,12,14,0
3637643,346,Thamachit,Rasuwa,1054,1986,12,15,0
3637644,346,Thamachit,Rasuwa,1054,1986,12,16,0
3637645,346,Thamachit,Rasuwa,1054,1986,12,17,0
3637646,346,Thamachit,Rasuwa,1054,1986,12,18,0
