OBJECTID,gsid,formal_name,district,station_id,year,month,days,maxtemp
917471,363,Paigutang,Rasuwa,1072,1990,4,3,0
917472,363,Paigutang,Rasuwa,1072,1990,4,4,0
917473,363,Paigutang,Rasuwa,1072,1990,4,5,0
917474,363,Paigutang,Rasuwa,1072,1990,4,6,0
917475,363,Paigutang,Rasuwa,1072,1990,4,7,0
917476,363,Paigutang,Rasuwa,1072,1990,4,8,0
917477,363,Paigutang,Rasuwa,1072,1990,4,9,0
917478,363,Paigutang,Rasuwa,1072,1990,4,10,0
917479,363,Paigutang,Rasuwa,1072,1990,4,11,0
917480,363,Paigutang,Rasuwa,1072,1990,4,12,0
917481,363,Paigutang,Rasuwa,1072,1990,4,13,0
917482,363,Paigutang,Rasuwa,1072,1990,4,14,0
917483,363,Paigutang,Rasuwa,1072,1990,4,15,0
917484,363,Paigutang,Rasuwa,1072,1990,4,16,0
917485,363,Paigutang,Rasuwa,1072,1990,4,17,0
917486,363,Paigutang,Rasuwa,1072,1990,4,18,0
917487,363,Paigutang,Rasuwa,1072,1990,4,19,0
917488,363,Paigutang,Rasuwa,1072,1990,4,20,0
917489,363,Paigutang,Rasuwa,1072,1990,4,21,0
917490,363,Paigutang,Rasuwa,1072,1990,4,22,0
917491,363,Paigutang,Rasuwa,1072,1990,4,23,0
917492,363,Paigutang,Rasuwa,1072,1990,4,24,0
917493,363,Paigutang,Rasuwa,1072,1990,4,25,0
917494,363,Paigutang,Rasuwa,1072,1990,4,26,0
917495,363,Paigutang,Rasuwa,1072,1990,4,27,0
917496,363,Paigutang,Rasuwa,1072,1990,4,28,0
917497,363,Paigutang,Rasuwa,1072,1990,4,29,0
917498,363,Paigutang,Rasuwa,1072,1990,4,30,0
917499,363,Paigutang,Rasuwa,1072,1990,5,1,0
917500,363,Paigutang,Rasuwa,1072,1990,5,2,0
917501,363,Paigutang,Rasuwa,1072,1990,5,3,0
917502,363,Paigutang,Rasuwa,1072,1990,5,4,0
917503,363,Paigutang,Rasuwa,1072,1990,5,5,0
917504,363,Paigutang,Rasuwa,1072,1990,5,6,0
917505,363,Paigutang,Rasuwa,1072,1990,5,7,0
917506,363,Paigutang,Rasuwa,1072,1990,5,8,0
917507,363,Paigutang,Rasuwa,1072,1990,5,9,0
917508,363,Paigutang,Rasuwa,1072,1990,5,10,0
917509,363,Paigutang,Rasuwa,1072,1990,5,11,0
917510,363,Paigutang,Rasuwa,1072,1990,5,12,0
917511,363,Paigutang,Rasuwa,1072,1990,5,13,0
917512,363,Paigutang,Rasuwa,1072,1990,5,14,0
917513,363,Paigutang,Rasuwa,1072,1990,5,15,0
917514,363,Paigutang,Rasuwa,1072,1990,5,16,0
917515,363,Paigutang,Rasuwa,1072,1990,5,17,0
917516,363,Paigutang,Rasuwa,1072,1990,5,18,0
917517,363,Paigutang,Rasuwa,1072,1990,5,19,0
917518,363,Paigutang,Rasuwa,1072,1990,5,20,0
917519,363,Paigutang,Rasuwa,1072,1990,5,21,0
917520,363,Paigutang,Rasuwa,1072,1990,5,22,0
917521,363,Paigutang,Rasuwa,1072,1990,5,23,0
917522,363,Paigutang,Rasuwa,1072,1990,5,24,0
917523,363,Paigutang,Rasuwa,1072,1990,5,25,0
917524,363,Paigutang,Rasuwa,1072,1990,5,26,0
917525,363,Paigutang,Rasuwa,1072,1990,5,27,0
917526,363,Paigutang,Rasuwa,1072,1990,5,28,0
917527,363,Paigutang,Rasuwa,1072,1990,5,29,0
917528,363,Paigutang,Rasuwa,1072,1990,5,30,0
917529,363,Paigutang,Rasuwa,1072,1990,5,31,0
917530,363,Paigutang,Rasuwa,1072,1990,6,1,0
917531,363,Paigutang,Rasuwa,1072,1990,6,2,0
917532,363,Paigutang,Rasuwa,1072,1990,6,3,0
917533,363,Paigutang,Rasuwa,1072,1990,6,4,0
917534,363,Paigutang,Rasuwa,1072,1990,6,5,0
917535,363,Paigutang,Rasuwa,1072,1990,6,6,0
917536,363,Paigutang,Rasuwa,1072,1990,6,7,0
917537,363,Paigutang,Rasuwa,1072,1990,6,8,0
917538,363,Paigutang,Rasuwa,1072,1990,6,9,0
917539,363,Paigutang,Rasuwa,1072,1990,6,10,0
917540,363,Paigutang,Rasuwa,1072,1990,6,11,0
917541,363,Paigutang,Rasuwa,1072,1990,6,12,0
917542,363,Paigutang,Rasuwa,1072,1990,6,13,0
917543,363,Paigutang,Rasuwa,1072,1990,6,14,0
917544,363,Paigutang,Rasuwa,1072,1990,6,15,0
917545,363,Paigutang,Rasuwa,1072,1990,6,16,0
917546,363,Paigutang,Rasuwa,1072,1990,6,17,0
917547,363,Paigutang,Rasuwa,1072,1990,6,18,0
917548,363,Paigutang,Rasuwa,1072,1990,6,19,0
917549,363,Paigutang,Rasuwa,1072,1990,6,20,0
917550,363,Paigutang,Rasuwa,1072,1990,6,21,0
917551,363,Paigutang,Rasuwa,1072,1990,6,22,0
917552,363,Paigutang,Rasuwa,1072,1990,6,23,0
917553,363,Paigutang,Rasuwa,1072,1990,6,24,0
917554,363,Paigutang,Rasuwa,1072,1990,6,25,0
917555,363,Paigutang,Rasuwa,1072,1990,6,26,0
917556,363,Paigutang,Rasuwa,1072,1990,6,27,0
917557,363,Paigutang,Rasuwa,1072,1990,6,28,0
917558,363,Paigutang,Rasuwa,1072,1990,6,29,0
917559,363,Paigutang,Rasuwa,1072,1990,6,30,0
917560,363,Paigutang,Rasuwa,1072,1990,7,1,0
917561,363,Paigutang,Rasuwa,1072,1990,7,2,0
917562,363,Paigutang,Rasuwa,1072,1990,7,3,0
917563,363,Paigutang,Rasuwa,1072,1990,7,4,0
917564,363,Paigutang,Rasuwa,1072,1990,7,5,0
917565,363,Paigutang,Rasuwa,1072,1990,7,6,0
917566,363,Paigutang,Rasuwa,1072,1990,7,7,0
917567,363,Paigutang,Rasuwa,1072,1990,7,8,0
917568,363,Paigutang,Rasuwa,1072,1990,7,9,0
917569,363,Paigutang,Rasuwa,1072,1990,7,10,0
917570,363,Paigutang,Rasuwa,1072,1990,7,11,0
917571,363,Paigutang,Rasuwa,1072,1990,7,12,0
917572,363,Paigutang,Rasuwa,1072,1990,7,13,0
917573,363,Paigutang,Rasuwa,1072,1990,7,14,0
917574,363,Paigutang,Rasuwa,1072,1990,7,15,0
917575,363,Paigutang,Rasuwa,1072,1990,7,16,0
917576,363,Paigutang,Rasuwa,1072,1990,7,17,0
917577,363,Paigutang,Rasuwa,1072,1990,7,18,0
917578,363,Paigutang,Rasuwa,1072,1990,7,19,0
917579,363,Paigutang,Rasuwa,1072,1990,7,20,0
917580,363,Paigutang,Rasuwa,1072,1990,7,21,0
917581,363,Paigutang,Rasuwa,1072,1990,7,22,0
917582,363,Paigutang,Rasuwa,1072,1990,7,23,0
917583,363,Paigutang,Rasuwa,1072,1990,7,24,0
917584,363,Paigutang,Rasuwa,1072,1990,7,25,0
917585,363,Paigutang,Rasuwa,1072,1990,7,26,0
917586,363,Paigutang,Rasuwa,1072,1990,7,27,0
917587,363,Paigutang,Rasuwa,1072,1990,7,28,0
917588,363,Paigutang,Rasuwa,1072,1990,7,29,0
917589,363,Paigutang,Rasuwa,1072,1990,7,30,0
917590,363,Paigutang,Rasuwa,1072,1990,7,31,0
917591,363,Paigutang,Rasuwa,1072,1990,8,1,0
917592,363,Paigutang,Rasuwa,1072,1990,8,2,0
917593,363,Paigutang,Rasuwa,1072,1990,8,3,0
917594,363,Paigutang,Rasuwa,1072,1990,8,4,0
917595,363,Paigutang,Rasuwa,1072,1990,8,5,0
917596,363,Paigutang,Rasuwa,1072,1990,8,6,0
917597,363,Paigutang,Rasuwa,1072,1990,8,7,0
