OBJECTID,gsid,formal_name,district,station_id,year,month,days,maxtemp
349346,347,Dhunche,Rasuwa,1055,1989,1,1,0
349347,347,Dhunche,Rasuwa,1055,1989,1,2,0
349348,347,Dhunche,Rasuwa,1055,1989,1,3,0
349349,347,Dhunche,Rasuwa,1055,1989,1,4,0
349350,347,Dhunche,Rasuwa,1055,1989,1,5,0
349351,347,Dhunche,Rasuwa,1055,1989,1,6,0
349352,347,Dhunche,Rasuwa,1055,1989,1,7,0
349353,347,Dhunche,Rasuwa,1055,1989,1,8,0
349354,347,Dhunche,Rasuwa,1055,1989,1,9,0
349355,347,Dhunche,Rasuwa,1055,1989,1,10,0
349356,347,Dhunche,Rasuwa,1055,1989,1,11,0
349357,347,Dhunche,Rasuwa,1055,1989,1,12,0
349358,347,Dhunche,Rasuwa,1055,1989,1,13,0
349359,347,Dhunche,Rasuwa,1055,1989,1,14,0
349360,347,Dhunche,Rasuwa,1055,1989,1,15,0
349361,347,Dhunche,Rasuwa,1055,1989,1,16,0
349362,347,Dhunche,Rasuwa,1055,1989,1,17,0
349363,347,Dhunche,Rasuwa,1055,1989,1,18,0
349364,347,Dhunche,Rasuwa,1055,1989,1,19,0
349365,347,Dhunche,Rasuwa,1055,1989,1,20,0
349366,347,Dhunche,Rasuwa,1055,1989,1,21,0
349367,347,Dhunche,Rasuwa,1055,1989,1,22,0
349368,347,Dhunche,Rasuwa,1055,1989,1,23,0
349369,347,Dhunche,Rasuwa,1055,1989,1,24,0
349370,347,Dhunche,Rasuwa,1055,1989,1,25,0
349371,347,Dhunche,Rasuwa,1055,1989,1,26,0
349372,347,Dhunche,Rasuwa,1055,1989,1,27,0
349373,347,Dhunche,Rasuwa,1055,1989,1,28,0
349374,347,Dhunche,Rasuwa,1055,1989,1,29,0
349375,347,Dhunche,Rasuwa,1055,1989,1,30,0
349376,347,Dhunche,Rasuwa,1055,1989,1,31,0
349377,347,Dhunche,Rasuwa,1055,1989,2,1,0
349378,347,Dhunche,Rasuwa,1055,1989,2,2,0
349379,347,Dhunche,Rasuwa,1055,1989,2,3,0
349380,347,Dhunche,Rasuwa,1055,1989,2,4,0
349381,347,Dhunche,Rasuwa,1055,1989,2,5,0
349382,347,Dhunche,Rasuwa,1055,1989,2,6,0
349383,347,Dhunche,Rasuwa,1055,1989,2,7,0
349384,347,Dhunche,Rasuwa,1055,1989,2,8,0
349385,347,Dhunche,Rasuwa,1055,1989,2,9,0
349386,347,Dhunche,Rasuwa,1055,1989,2,10,0
349387,347,Dhunche,Rasuwa,1055,1989,2,11,0
349388,347,Dhunche,Rasuwa,1055,1989,2,12,0
349389,347,Dhunche,Rasuwa,1055,1989,2,13,0
349390,347,Dhunche,Rasuwa,1055,1989,2,14,0
349391,347,Dhunche,Rasuwa,1055,1989,2,15,0
349392,347,Dhunche,Rasuwa,1055,1989,2,16,0
349393,347,Dhunche,Rasuwa,1055,1989,2,17,0
349394,347,Dhunche,Rasuwa,1055,1989,2,18,0
349395,347,Dhunche,Rasuwa,1055,1989,2,19,0
349396,347,Dhunche,Rasuwa,1055,1989,2,20,0
349397,347,Dhunche,Rasuwa,1055,1989,2,21,0
349398,347,Dhunche,Rasuwa,1055,1989,2,22,0
349399,347,Dhunche,Rasuwa,1055,1989,2,23,0
349400,347,Dhunche,Rasuwa,1055,1989,2,24,0
349401,347,Dhunche,Rasuwa,1055,1989,2,25,0
349402,347,Dhunche,Rasuwa,1055,1989,2,26,0
349403,347,Dhunche,Rasuwa,1055,1989,2,27,0
349404,347,Dhunche,Rasuwa,1055,1989,2,28,0
349405,347,Dhunche,Rasuwa,1055,1989,3,1,0
349406,347,Dhunche,Rasuwa,1055,1989,3,2,0
349407,347,Dhunche,Rasuwa,1055,1989,3,3,0
349408,347,Dhunche,Rasuwa,1055,1989,3,4,0
349409,347,Dhunche,Rasuwa,1055,1989,3,5,0
349410,347,Dhunche,Rasuwa,1055,1989,3,6,0
349411,347,Dhunche,Rasuwa,1055,1989,3,7,0
349412,347,Dhunche,Rasuwa,1055,1989,3,8,0
349413,347,Dhunche,Rasuwa,1055,1989,3,9,0
349414,347,Dhunche,Rasuwa,1055,1989,3,10,0
349415,347,Dhunche,Rasuwa,1055,1989,3,11,0
349416,347,Dhunche,Rasuwa,1055,1989,3,12,0
349417,347,Dhunche,Rasuwa,1055,1989,3,13,0
349418,347,Dhunche,Rasuwa,1055,1989,3,14,0
349419,347,Dhunche,Rasuwa,1055,1989,3,15,0
349420,347,Dhunche,Rasuwa,1055,1989,3,16,0
349421,347,Dhunche,Rasuwa,1055,1989,3,17,0
349422,347,Dhunche,Rasuwa,1055,1989,3,18,0
349423,347,Dhunche,Rasuwa,1055,1989,3,19,0
349424,347,Dhunche,Rasuwa,1055,1989,3,20,0
349425,347,Dhunche,Rasuwa,1055,1989,3,21,0
349426,347,Dhunche,Rasuwa,1055,1989,3,22,0
349427,347,Dhunche,Rasuwa,1055,1989,3,23,0
349428,347,Dhunche,Rasuwa,1055,1989,3,24,0
349429,347,Dhunche,Rasuwa,1055,1989,3,25,0
349430,347,Dhunche,Rasuwa,1055,1989,3,26,0
349431,347,Dhunche,Rasuwa,1055,1989,3,27,0
349432,347,Dhunche,Rasuwa,1055,1989,3,28,0
349433,347,Dhunche,Rasuwa,1055,1989,3,29,0
349434,347,Dhunche,Rasuwa,1055,1989,3,30,0
349435,347,Dhunche,Rasuwa,1055,1989,3,31,0
349436,347,Dhunche,Rasuwa,1055,1989,4,1,0
349437,347,Dhunche,Rasuwa,1055,1989,4,2,0
349438,347,Dhunche,Rasuwa,1055,1989,4,3,0
349439,347,Dhunche,Rasuwa,1055,1989,4,4,0
349440,347,Dhunche,Rasuwa,1055,1989,4,5,0
349441,347,Dhunche,Rasuwa,1055,1989,4,6,0
349442,347,Dhunche,Rasuwa,1055,1989,4,7,0
349443,347,Dhunche,Rasuwa,1055,1989,4,8,0
349444,347,Dhunche,Rasuwa,1055,1989,4,9,0
349445,347,Dhunche,Rasuwa,1055,1989,4,10,0
349446,347,Dhunche,Rasuwa,1055,1989,4,11,0
349447,347,Dhunche,Rasuwa,1055,1989,4,12,0
349448,347,Dhunche,Rasuwa,1055,1989,4,13,0
349449,347,Dhunche,Rasuwa,1055,1989,4,14,0
349450,347,Dhunche,Rasuwa,1055,1989,4,15,0
349451,347,Dhunche,Rasuwa,1055,1989,4,16,0
349452,347,Dhunche,Rasuwa,1055,1989,4,17,0
349453,347,Dhunche,Rasuwa,1055,1989,4,18,0
349454,347,Dhunche,Rasuwa,1055,1989,4,19,0
349455,347,Dhunche,Rasuwa,1055,1989,4,20,0
349456,347,Dhunche,Rasuwa,1055,1989,4,21,0
349457,347,Dhunche,Rasuwa,1055,1989,4,22,0
349458,347,Dhunche,Rasuwa,1055,1989,4,23,0
349459,347,Dhunche,Rasuwa,1055,1989,4,24,0
349460,347,Dhunche,Rasuwa,1055,1989,4,25,0
349461,347,Dhunche,Rasuwa,1055,1989,4,26,0
349462,347,Dhunche,Rasuwa,1055,1989,4,27,0
349463,347,Dhunche,Rasuwa,1055,1989,4,28,0
349464,347,Dhunche,Rasuwa,1055,1989,4,29,0
349465,347,Dhunche,Rasuwa,1055,1989,4,30,0
349466,347,Dhunche,Rasuwa,1055,1989,5,1,0
349467,347,Dhunche,Rasuwa,1055,1989,5,2,0
349468,347,Dhunche,Rasuwa,1055,1989,5,3,0
349469,347,Dhunche,Rasuwa,1055,1989,5,4,28
349470,347,Dhunche,Rasuwa,1055,1989,5,5,27
349471,347,Dhunche,Rasuwa,1055,1989,5,6,27
349472,347,Dhunche,Rasuwa,1055,1989,5,7,27.5
349473,347,Dhunche,Rasuwa,1055,1989,5,8,26
349474,347,Dhunche,Rasuwa,1055,1989,5,9,24.5
349475,347,Dhunche,Rasuwa,1055,1989,5,10,25
349476,347,Dhunche,Rasuwa,1055,1989,5,11,24.5
349477,347,Dhunche,Rasuwa,1055,1989,5,12,24
349478,347,Dhunche,Rasuwa,1055,1989,5,13,19.5
349479,347,Dhunche,Rasuwa,1055,1989,5,14,19.5
349480,347,Dhunche,Rasuwa,1055,1989,5,15,22
349481,347,Dhunche,Rasuwa,1055,1989,5,16,23.5
349482,347,Dhunche,Rasuwa,1055,1989,5,17,21.5
349483,347,Dhunche,Rasuwa,1055,1989,5,18,25
349484,347,Dhunche,Rasuwa,1055,1989,5,19,23
349485,347,Dhunche,Rasuwa,1055,1989,5,20,21
349486,347,Dhunche,Rasuwa,1055,1989,5,21,18
349487,347,Dhunche,Rasuwa,1055,1989,5,22,23
349488,347,Dhunche,Rasuwa,1055,1989,5,23,22
349489,347,Dhunche,Rasuwa,1055,1989,5,24,23
349490,347,Dhunche,Rasuwa,1055,1989,5,25,21
349491,347,Dhunche,Rasuwa,1055,1989,5,26,15.4
349492,347,Dhunche,Rasuwa,1055,1989,5,27,16.5
349493,347,Dhunche,Rasuwa,1055,1989,5,28,19
349494,347,Dhunche,Rasuwa,1055,1989,5,29,19
349495,347,Dhunche,Rasuwa,1055,1989,5,30,21.5
349496,347,Dhunche,Rasuwa,1055,1989,5,31,23
349497,347,Dhunche,Rasuwa,1055,1989,6,1,28
349498,347,Dhunche,Rasuwa,1055,1989,6,2,23
349499,347,Dhunche,Rasuwa,1055,1989,6,3,24
349500,347,Dhunche,Rasuwa,1055,1989,6,4,20
349501,347,Dhunche,Rasuwa,1055,1989,6,5,22
349502,347,Dhunche,Rasuwa,1055,1989,6,6,21
349503,347,Dhunche,Rasuwa,1055,1989,6,7,22
349504,347,Dhunche,Rasuwa,1055,1989,6,8,23
349505,347,Dhunche,Rasuwa,1055,1989,6,9,24
349506,347,Dhunche,Rasuwa,1055,1989,6,10,25
349507,347,Dhunche,Rasuwa,1055,1989,6,11,24
349508,347,Dhunche,Rasuwa,1055,1989,6,12,24
349509,347,Dhunche,Rasuwa,1055,1989,6,13,25
349510,347,Dhunche,Rasuwa,1055,1989,6,14,25
349511,347,Dhunche,Rasuwa,1055,1989,6,15,24.5
349512,347,Dhunche,Rasuwa,1055,1989,6,16,22
349513,347,Dhunche,Rasuwa,1055,1989,6,17,21.5
349514,347,Dhunche,Rasuwa,1055,1989,6,18,19
349515,347,Dhunche,Rasuwa,1055,1989,6,19,21
349516,347,Dhunche,Rasuwa,1055,1989,6,20,22.5
349517,347,Dhunche,Rasuwa,1055,1989,6,21,23.5
349518,347,Dhunche,Rasuwa,1055,1989,6,22,22
349519,347,Dhunche,Rasuwa,1055,1989,6,23,23
349520,347,Dhunche,Rasuwa,1055,1989,6,24,24.5
