OBJECTID,gsid,formal_name,district,station_id,year,month,days,mintemp
917915,363,Paigutang,Rasuwa,1072,1990,1,1,0
917916,363,Paigutang,Rasuwa,1072,1990,1,2,0
917917,363,Paigutang,Rasuwa,1072,1990,1,3,0
917918,363,Paigutang,Rasuwa,1072,1990,1,4,0
917919,363,Paigutang,Rasuwa,1072,1990,1,5,0
917920,363,Paigutang,Rasuwa,1072,1990,1,6,0
917921,363,Paigutang,Rasuwa,1072,1990,1,7,0
917922,363,Paigutang,Rasuwa,1072,1990,1,8,0
917923,363,Paigutang,Rasuwa,1072,1990,1,9,0
917924,363,Paigutang,Rasuwa,1072,1990,1,10,0
917925,363,Paigutang,Rasuwa,1072,1990,1,11,0
917926,363,Paigutang,Rasuwa,1072,1990,1,12,0
917927,363,Paigutang,Rasuwa,1072,1990,1,13,0
917928,363,Paigutang,Rasuwa,1072,1990,1,14,0
917929,363,Paigutang,Rasuwa,1072,1990,1,15,0
917930,363,Paigutang,Rasuwa,1072,1990,1,16,0
917931,363,Paigutang,Rasuwa,1072,1990,1,17,0
917932,363,Paigutang,Rasuwa,1072,1990,1,18,0
917933,363,Paigutang,Rasuwa,1072,1990,1,19,0
917934,363,Paigutang,Rasuwa,1072,1990,1,20,0
917935,363,Paigutang,Rasuwa,1072,1990,1,21,0
917936,363,Paigutang,Rasuwa,1072,1990,1,22,0
917937,363,Paigutang,Rasuwa,1072,1990,1,23,0
917938,363,Paigutang,Rasuwa,1072,1990,1,24,0
917939,363,Paigutang,Rasuwa,1072,1990,1,25,0
917940,363,Paigutang,Rasuwa,1072,1990,1,26,0
917941,363,Paigutang,Rasuwa,1072,1990,1,27,0
917942,363,Paigutang,Rasuwa,1072,1990,1,28,0
917943,363,Paigutang,Rasuwa,1072,1990,1,29,0
917944,363,Paigutang,Rasuwa,1072,1990,1,30,0
917945,363,Paigutang,Rasuwa,1072,1990,1,31,0
917946,363,Paigutang,Rasuwa,1072,1990,2,1,0
917947,363,Paigutang,Rasuwa,1072,1990,2,2,0
917948,363,Paigutang,Rasuwa,1072,1990,2,3,0
917949,363,Paigutang,Rasuwa,1072,1990,2,4,0
917950,363,Paigutang,Rasuwa,1072,1990,2,5,0
917951,363,Paigutang,Rasuwa,1072,1990,2,6,0
917952,363,Paigutang,Rasuwa,1072,1990,2,7,0
917953,363,Paigutang,Rasuwa,1072,1990,2,8,0
917954,363,Paigutang,Rasuwa,1072,1990,2,9,0
917955,363,Paigutang,Rasuwa,1072,1990,2,10,0
917956,363,Paigutang,Rasuwa,1072,1990,2,11,0
917957,363,Paigutang,Rasuwa,1072,1990,2,12,0
917958,363,Paigutang,Rasuwa,1072,1990,2,13,0
917959,363,Paigutang,Rasuwa,1072,1990,2,14,0
917960,363,Paigutang,Rasuwa,1072,1990,2,15,0
917961,363,Paigutang,Rasuwa,1072,1990,2,16,0
917962,363,Paigutang,Rasuwa,1072,1990,2,17,0
917963,363,Paigutang,Rasuwa,1072,1990,2,18,0
