OBJECTID,gsid,formal_name,district,station_id,year,month,days,mintemp
1311802,295,Timure,Rasuwa,1001,2005,1,1,0
1311803,295,Timure,Rasuwa,1001,2005,1,2,0
1311804,295,Timure,Rasuwa,1001,2005,1,3,0
1311805,295,Timure,Rasuwa,1001,2005,1,4,0
1311806,295,Timure,Rasuwa,1001,2005,1,5,0
1311807,295,Timure,Rasuwa,1001,2005,1,6,0
1311808,295,Timure,Rasuwa,1001,2005,1,7,0
1311809,295,Timure,Rasuwa,1001,2005,1,8,0
1311810,295,Timure,Rasuwa,1001,2005,1,9,0
1311811,295,Timure,Rasuwa,1001,2005,1,10,0
1311812,295,Timure,Rasuwa,1001,2005,1,11,0
1311813,295,Timure,Rasuwa,1001,2005,1,12,0
1311814,295,Timure,Rasuwa,1001,2005,1,13,0
1311815,295,Timure,Rasuwa,1001,2005,1,14,0
1311816,295,Timure,Rasuwa,1001,2005,1,15,0
1311817,295,Timure,Rasuwa,1001,2005,1,16,0
1311818,295,Timure,Rasuwa,1001,2005,1,17,0
1311819,295,Timure,Rasuwa,1001,2005,1,18,0
1311820,295,Timure,Rasuwa,1001,2005,1,19,0
1311821,295,Timure,Rasuwa,1001,2005,1,20,0
1311822,295,Timure,Rasuwa,1001,2005,1,21,0
1311823,295,Timure,Rasuwa,1001,2005,1,22,0
1311824,295,Timure,Rasuwa,1001,2005,1,23,0
1311825,295,Timure,Rasuwa,1001,2005,1,24,0
1311826,295,Timure,Rasuwa,1001,2005,1,25,0
1311827,295,Timure,Rasuwa,1001,2005,1,26,0
1311828,295,Timure,Rasuwa,1001,2005,1,27,0
1311829,295,Timure,Rasuwa,1001,2005,1,28,0
1311830,295,Timure,Rasuwa,1001,2005,1,29,0
1311831,295,Timure,Rasuwa,1001,2005,1,30,0
1311832,295,Timure,Rasuwa,1001,2005,1,31,0
1311833,295,Timure,Rasuwa,1001,2005,2,1,0
1311834,295,Timure,Rasuwa,1001,2005,2,2,0
1311835,295,Timure,Rasuwa,1001,2005,2,3,0
1311836,295,Timure,Rasuwa,1001,2005,2,4,0
1311837,295,Timure,Rasuwa,1001,2005,2,5,0
1311838,295,Timure,Rasuwa,1001,2005,2,6,0
1311839,295,Timure,Rasuwa,1001,2005,2,7,0
1311840,295,Timure,Rasuwa,1001,2005,2,8,0
1311841,295,Timure,Rasuwa,1001,2005,2,9,0
1311842,295,Timure,Rasuwa,1001,2005,2,10,0
1311843,295,Timure,Rasuwa,1001,2005,2,11,0
1311844,295,Timure,Rasuwa,1001,2005,2,12,0
1311845,295,Timure,Rasuwa,1001,2005,2,13,0
1311846,295,Timure,Rasuwa,1001,2005,2,14,0
1311847,295,Timure,Rasuwa,1001,2005,2,15,0
1311848,295,Timure,Rasuwa,1001,2005,2,16,0
1311849,295,Timure,Rasuwa,1001,2005,2,17,0
1311850,295,Timure,Rasuwa,1001,2005,2,18,0
1311851,295,Timure,Rasuwa,1001,2005,2,19,0
1311852,295,Timure,Rasuwa,1001,2005,2,20,0
1311853,295,Timure,Rasuwa,1001,2005,2,21,0
1311854,295,Timure,Rasuwa,1001,2005,2,22,0
1311855,295,Timure,Rasuwa,1001,2005,2,23,0
1311856,295,Timure,Rasuwa,1001,2005,2,24,0
1311857,295,Timure,Rasuwa,1001,2005,2,25,0
1311858,295,Timure,Rasuwa,1001,2005,2,26,0
1311859,295,Timure,Rasuwa,1001,2005,2,27,0
1311860,295,Timure,Rasuwa,1001,2005,2,28,0
1311861,295,Timure,Rasuwa,1001,2005,3,1,0
1311862,295,Timure,Rasuwa,1001,2005,3,2,0
1311863,295,Timure,Rasuwa,1001,2005,3,3,0
1311864,295,Timure,Rasuwa,1001,2005,3,4,0
1311865,295,Timure,Rasuwa,1001,2005,3,5,0
1311866,295,Timure,Rasuwa,1001,2005,3,6,0
1311867,295,Timure,Rasuwa,1001,2005,3,7,0
1311868,295,Timure,Rasuwa,1001,2005,3,8,0
1311869,295,Timure,Rasuwa,1001,2005,3,9,0
1311870,295,Timure,Rasuwa,1001,2005,3,10,0
1311871,295,Timure,Rasuwa,1001,2005,3,11,0
1311872,295,Timure,Rasuwa,1001,2005,3,12,0
1311873,295,Timure,Rasuwa,1001,2005,3,13,0
1311874,295,Timure,Rasuwa,1001,2005,3,14,0
1311875,295,Timure,Rasuwa,1001,2005,3,15,0
1311876,295,Timure,Rasuwa,1001,2005,3,16,0
1311877,295,Timure,Rasuwa,1001,2005,3,17,0
1311878,295,Timure,Rasuwa,1001,2005,3,18,0
1311879,295,Timure,Rasuwa,1001,2005,3,19,0
1311880,295,Timure,Rasuwa,1001,2005,3,20,0
1311881,295,Timure,Rasuwa,1001,2005,3,21,0
1311882,295,Timure,Rasuwa,1001,2005,3,22,0
1311883,295,Timure,Rasuwa,1001,2005,3,23,0
1311884,295,Timure,Rasuwa,1001,2005,3,24,0
1311885,295,Timure,Rasuwa,1001,2005,3,25,0
1311886,295,Timure,Rasuwa,1001,2005,3,26,0
1311887,295,Timure,Rasuwa,1001,2005,3,27,0
1311888,295,Timure,Rasuwa,1001,2005,3,28,0
1311889,295,Timure,Rasuwa,1001,2005,3,29,0
1311890,295,Timure,Rasuwa,1001,2005,3,30,0
1311891,295,Timure,Rasuwa,1001,2005,3,31,0
1311892,295,Timure,Rasuwa,1001,2005,4,1,0
1311893,295,Timure,Rasuwa,1001,2005,4,2,0
